order_date,product_id,product_category,quantity_sold
7/08/2023,2490971,Cold and Flu,19
10/08/2023,2490971,Cold and Flu,23
13/08/2023,2490971,Cold and Flu,14
16/08/2023,2490971,Cold and Flu,24
8/09/2023,2490971,Cold and Flu,19
11/09/2023,2490971,Cold and Flu,17
14/09/2023,2490971,Cold and Flu,18
7/10/2023,2490971,Cold and Flu,7
10/10/2023,2490971,Cold and Flu,10
13/10/2023,2490971,Cold and Flu,11
16/10/2023,2490971,Cold and Flu,23
5/11/2023,2490971,Cold and Flu,18
8/11/2023,2490971,Cold and Flu,13
11/11/2023,2490971,Cold and Flu,14
14/11/2023,2490971,Cold and Flu,10
7/12/2023,2490971,Cold and Flu,17
10/12/2023,2490971,Cold and Flu,11
13/12/2023,2490971,Cold and Flu,14
16/12/2023,2490971,Cold and Flu,17
22/01/2023,2609910,Hayfever,51
25/01/2023,2609910,Hayfever,39
28/01/2023,2609910,Hayfever,50
31/01/2023,2609910,Hayfever,66
20/02/2023,2609910,Hayfever,57
23/02/2023,2609910,Hayfever,62
26/02/2023,2609910,Hayfever,62
1/03/2023,2609910,Hayfever,42
24/03/2023,2609910,Hayfever,42
27/03/2023,2609910,Hayfever,45
30/03/2023,2609910,Hayfever,42
22/04/2023,2609910,Hayfever,37
25/04/2023,2609910,Hayfever,44
28/04/2023,2609910,Hayfever,54
1/05/2023,2609910,Hayfever,45
21/05/2023,2609910,Hayfever,40
24/05/2023,2609910,Hayfever,63
27/05/2023,2609910,Hayfever,36
30/05/2023,2609910,Hayfever,37
22/06/2023,2609910,Hayfever,47
25/06/2023,2609910,Hayfever,34
28/06/2023,2609910,Hayfever,35
1/07/2023,2609910,Hayfever,28
21/07/2023,2609910,Hayfever,28
24/07/2023,2609910,Hayfever,41
27/07/2023,2609910,Hayfever,51
30/07/2023,2609910,Hayfever,54
22/08/2023,2609910,Hayfever,47
25/08/2023,2609910,Hayfever,34
28/08/2023,2609910,Hayfever,60
20/09/2023,2609910,Hayfever,66
23/09/2023,2609910,Hayfever,42
26/09/2023,2609910,Hayfever,46
29/09/2023,2609910,Hayfever,48
19/10/2023,2609910,Hayfever,58
22/10/2023,2609910,Hayfever,27
25/10/2023,2609910,Hayfever,39
